ls11cd,la11nm,london_imd_rank,london_imd_decile,Index of Multiple Deprivation (IMD) Score,Income Score (rate),Employment Score (rate),"Education, Skills and Training Score",Health Deprivation and Disability Score,Crime Score,Barriers to Housing and Services Score,Living Environment Score
E01000172,Barnet,4245,9,8.421,0.075,0.039,2.666,-1.613,-0.743,24.854,25.96
E01000173,Barnet,4022,9,9.709,0.081,0.05,5.844,-1.13,-0.085,19.649,23.152
E01000174,Barnet,3029,7,16.271,0.128,0.069,8.05,-0.672,-0.248,30.198,29.971
E01000175,Barnet,4374,10,7.614,0.052,0.047,2.159,-1.45,0.185,22.205,15.768
E01000176,Barnet,1100,3,30.549,0.233,0.136,19.609,-0.459,0.377,44.215,17.867
E01000177,Barnet,4274,9,8.263,0.055,0.026,4.627,-1.826,0.031,22.96,29.925
E01000178,Barnet,4304,9,8.055,0.058,0.045,1.098,-1.31,-0.15,22.904,23.749
E01000179,Barnet,4237,9,8.467,0.064,0.036,2.024,-0.712,-0.087,24.92,19.606
E01000180,Barnet,3304,7,14.555,0.13,0.073,4.839,-1.044,-0.257,29.565,19.421
E01000181,Barnet,4287,9,8.204,0.058,0.039,0.31,-1.634,0.07,20.819,29.674
E01000182,Barnet,4314,9,8.01,0.04,0.032,0.42,-1.738,-0.177,22.913,37.424
E01000183,Barnet,3886,9,10.613,0.085,0.047,1.885,-0.676,-0.504,30.174,20.769
E01000184,Barnet,923,2,31.921,0.212,0.141,17.632,-0.186,0.303,43.284,35.661
E01000185,Barnet,1701,4,25.824,0.239,0.128,12.502,-0.208,-0.438,32.704,19.475
E01000186,Barnet,4695,10,5.195,0.044,0.035,3.442,-1.988,-0.699,19.417,18.927
E01000187,Barnet,3548,8,13.015,0.118,0.063,7.661,-0.599,-0.561,27.997,14.508
E01000188,Barnet,4309,9,8.028,0.032,0.036,2.684,-2.011,0.509,21.076,27.374
E01000189,Barnet,1856,4,24.526,0.149,0.091,25.611,-0.871,-0.444,38.504,43.589
E01000190,Barnet,3958,9,10.149,0.091,0.056,5.319,-1.301,-0.437,25.601,16.24
E01000191,Barnet,4500,10,6.834,0.055,0.048,1.76,-1.605,-0.547,22.059,18.833
