,income,employment,edu_ski_tra,health_depri,crime,hous_serv,living_env,cluster_id
1366,0.074,0.066,1.365,-0.343,0.06,28.633,49.621,0
1367,0.205,0.152,9.286,0.299,1.075,36.186,43.491,1
1368,0.13,0.062,4.39,-0.357,0.993,27.13,44.993,0
1369,0.077,0.045,3.039,-1.346,-0.038,29.976,22.824,2
1370,0.135,0.094,13.572,-0.243,0.423,47.457,31.357,0
1371,0.066,0.042,3.618,-1.404,-0.371,28.064,35.964,2
1372,0.113,0.075,8.21,-0.294,0.036,35.572,34.731,0
1373,0.207,0.081,14.815,-0.543,0.486,40.842,37.749,0
1374,0.233,0.172,21.526,-0.301,0.654,46.688,20.781,1
1375,0.145,0.059,12.238,-0.823,0.508,33.461,29.032,0
1376,0.188,0.1,12.449,-0.921,0.283,40.327,29.06,0
1377,0.067,0.045,4.952,-0.813,-0.319,20.29,28.266,2
1378,0.075,0.05,10.023,-1.024,0.131,24.223,22.696,2
1379,0.069,0.059,4.349,-0.747,-0.501,27.721,20.052,2
1380,0.077,0.055,9.817,-1.338,0.29,23.718,29.21,2
1381,0.07,0.049,4.963,-1.25,-0.308,25.871,17.202,2
1382,0.096,0.063,12.51,-0.761,-0.032,33.696,28.11,0
1383,0.12,0.074,15.207,-0.677,0.434,37.303,19.85,0
1384,0.092,0.051,4.783,-0.366,-0.435,31.639,16.778,2
1385,0.151,0.114,13.496,-0.211,0.369,35.962,29.764,0
1386,0.108,0.071,15.78,-0.88,0.711,32.572,23.568,0
1387,0.108,0.071,8.292,-0.605,-0.194,24.5,43.992,0
1388,0.224,0.146,21.071,-0.266,0.433,48.848,34.934,1
1389,0.285,0.187,39.306,0.482,0.189,61.546,27.969,1
1390,0.103,0.065,8.091,-0.959,-0.194,25.942,26.137,2
1391,0.145,0.093,20.863,-0.754,0.763,49.872,34.05,0
1392,0.05,0.037,4.895,-0.848,-0.23,26.674,16.085,2
1393,0.277,0.185,37.323,0.188,-0.377,50.694,35.879,1
1394,0.129,0.052,6.617,-0.837,0.249,35.52,17.217,0
1395,0.061,0.033,3.893,-1.522,-0.6,25.336,24.254,2
1396,0.033,0.024,3.792,-1.727,-0.668,41.249,13.103,2
1397,0.151,0.11,7.53,-0.338,0.127,35.969,17.927,0
1398,0.099,0.073,3.74,-0.988,0.23,35.351,19.586,2
1399,0.157,0.103,20.372,-0.061,-0.051,46.158,25.744,0
1400,0.19,0.102,14.862,-0.257,-0.172,47.009,27.17,0
1401,0.024,0.016,1.967,-2.112,-0.829,44.179,9.627,2
1402,0.208,0.122,28.503,-0.456,0.576,43.783,31.58,1
1403,0.332,0.195,24.906,0.36,0.76,46.489,24.583,1
1404,0.298,0.167,38.933,-0.03,1.579,49.53,36.817,1
1405,0.246,0.142,36.839,0.224,1.178,49.288,26.077,1
1406,0.286,0.162,40.591,-0.193,0.56,53.705,27.759,1
1407,0.242,0.168,38.102,-0.189,0.422,44.934,31.141,1
1408,0.312,0.186,37.857,0.353,1.063,37.697,38.425,1
1409,0.297,0.16,39.87,-0.239,0.533,47.43,33.805,1
1410,0.283,0.163,33.838,-0.126,0.648,53.976,37.52,1
1411,0.239,0.134,28.963,-0.051,0.901,47.014,48.375,1
1412,0.23,0.139,47.992,-0.099,0.047,45.886,27.74,1
1413,0.172,0.095,34.912,-0.361,0.441,42.287,27.392,1
1414,0.165,0.088,32.131,-0.55,0.841,32.105,31.11,1
1415,0.222,0.121,25.309,-0.427,0.325,34.326,27.423,1
1416,0.269,0.15,29.556,0.119,-0.339,50.492,35.929,1
1417,0.246,0.14,29.997,-0.242,0.771,40.608,28.685,1
1418,0.251,0.15,32.421,-0.443,0.586,41.445,27.992,1
1419,0.206,0.119,28.439,-0.525,0.866,37.588,28.031,1
1420,0.239,0.143,30.436,-0.173,0.989,46.431,26.03,1
1421,0.314,0.176,38.838,0.466,0.256,42.508,36.758,1
1422,0.137,0.076,22.704,-0.474,0.323,39.948,28.799,0
1423,0.208,0.1,23.367,-0.704,0.181,44.829,41.336,1
1424,0.188,0.114,28.867,-0.514,0.147,36.082,35.771,1
1425,0.302,0.187,32.613,0.106,0.214,51.707,19.229,1
1426,0.224,0.13,26.153,-0.352,0.156,40.597,24.739,1
1427,0.217,0.105,31.872,-0.484,0.164,45.914,18.385,1
1428,0.134,0.068,14.14,-0.531,0.399,42.315,27.758,0
1429,0.068,0.055,4.533,-1.371,1.078,39.438,24.66,2
1430,0.061,0.046,5.062,-1.284,-0.166,35.196,25.328,2
1431,0.032,0.033,2.798,-1.749,-0.771,30.564,16.093,2
1432,0.063,0.042,1.892,-1.282,-0.602,30.986,24.309,2
1433,0.068,0.046,10.888,-0.868,-0.711,35.268,16.589,2
1434,0.052,0.029,1.274,-1.567,-0.587,20.458,22.078,2
1435,0.091,0.068,7.307,-0.634,-1.011,37.43,16.569,2
1436,0.268,0.17,44.761,0.021,0.283,45.141,27.197,1
1437,0.174,0.101,24.406,-0.908,0.413,33.855,22.394,0
1438,0.236,0.145,38.786,-0.148,0.592,45.458,39.45,1
1439,0.289,0.175,37.059,-0.2,0.345,45.055,26.113,1
1440,0.254,0.137,26.352,-0.663,0.577,46.611,30.919,1
1441,0.176,0.083,21.372,-0.57,0.163,36.859,21.714,0
1442,0.276,0.166,40.486,0.017,0.167,40.471,27.14,1
1443,0.151,0.091,25.934,-0.835,0.193,42.021,28.202,0
1444,0.203,0.085,33.188,-0.569,0.249,40.363,34.764,1
1445,0.185,0.096,22.694,-0.792,0.106,40.915,36.061,0
1446,0.136,0.177,10.349,0.432,0.067,48.421,10.465,1
1447,0.139,0.108,16.734,-0.703,-0.538,50.034,12.434,0
1448,0.078,0.065,5.343,-1.304,-0.704,31.32,11.32,2
1449,0.11,0.073,7.131,-0.866,-0.608,45.295,20.138,0
1450,0.1,0.056,8.182,-1.211,-0.654,39.598,16.931,2
1451,0.122,0.082,14.337,-0.668,-0.374,30.586,12.927,2
1452,0.077,0.065,2.142,-1.217,-0.234,41.494,11.914,2
1453,0.055,0.038,5.802,-1.293,-0.886,25.74,19.599,2
1454,0.205,0.112,30.763,-0.476,0.324,36.734,24.22,1
1455,0.221,0.161,33.849,-0.117,0.385,42.789,26.512,1
1456,0.145,0.106,23.771,0.002,0.342,38.735,26.327,1
1457,0.219,0.114,28.961,-0.231,0.516,42.046,42.194,1
1458,0.193,0.111,19.928,0.028,0.314,48.687,28.915,1
1459,0.185,0.104,22.741,-0.324,0.221,37.466,31.52,1
1460,0.243,0.151,32.869,-0.253,0.693,47.88,35.409,1
1461,0.345,0.209,37.806,0.412,0.688,57.466,42.224,1
1462,0.149,0.09,23.493,-0.617,0.579,36.336,32.107,0
1463,0.231,0.123,33.198,-0.254,0.893,46.804,38.902,1
1464,0.294,0.166,39.469,-0.213,0.315,51.379,23.449,1
1465,0.226,0.149,32.506,-0.23,0.411,44.707,30.991,1
1466,0.21,0.11,29.292,-0.569,0.57,41.769,31.298,1
1467,0.188,0.119,35.108,-0.37,0.541,41.297,30.269,1
1468,0.215,0.127,25.397,-0.264,0.473,44.663,35.051,1
1469,0.212,0.12,27.635,-0.445,0.761,42.595,30.958,1
1470,0.178,0.138,22.335,-0.097,-0.38,47.992,20.675,1
1471,0.116,0.059,13.77,-0.724,-0.377,33.713,22.306,0
1472,0.079,0.049,5.408,-1.004,0.095,29.244,30.85,2
1473,0.101,0.062,7.538,-0.875,-0.147,32.033,25.211,2
1474,0.177,0.085,14.15,-0.698,0.43,40.892,23.021,0
1475,0.12,0.063,7.079,-0.743,0.196,31.783,36.392,0
1476,0.171,0.088,13.669,-0.281,0.23,39.624,30.283,0
1477,0.12,0.069,9.3,-0.688,0.67,35.249,33.173,0
1478,0.166,0.091,11.411,-0.129,0.579,41.055,36.526,0
1479,0.202,0.112,31.282,-0.489,0.64,41.376,34.042,1
1480,0.204,0.095,26.957,-0.44,0.466,38.543,31.527,1
1481,0.185,0.126,27.413,-0.296,0.5,39.512,34.119,1
1482,0.232,0.142,27.261,-0.138,0.435,41.388,30.167,1
1483,0.265,0.147,32.894,0.002,0.739,45.043,30.102,1
1484,0.257,0.171,31.003,-0.279,0.914,47.302,32.24,1
1485,0.224,0.116,22.934,-0.29,0.541,45.176,31.038,1
1486,0.217,0.135,28.429,-0.766,0.336,47.773,40.923,1
1487,0.307,0.204,40.407,0.505,0.515,38.299,43.653,1
1488,0.13,0.085,12.917,-0.484,0.857,30.219,33.354,0
1489,0.121,0.067,12.161,-0.845,-0.109,36.776,33.714,0
1490,0.231,0.138,26.043,-0.086,0.689,41.124,25.324,1
1491,0.15,0.093,19.2,-0.67,-0.13,32.639,33.825,0
1492,0.25,0.142,28.083,0.177,-0.032,48.059,36.691,1
1493,0.187,0.128,26.884,-0.273,0.046,41.924,26.708,1
1494,0.334,0.209,57.186,0.293,0.468,43.854,16.037,1
1495,0.148,0.08,6.995,-0.418,0.838,31.185,37.731,0
